Raman Frequency (cm-1)	Intensity (a.u)
85.61765	0.75395
88.3734	0.75363
91.1282	0.76336
93.88205	0.77569
96.63496	0.77501
99.38693	0.76775
102.13796	0.75583
104.88804	0.7607
107.63719	0.77346
110.38539	0.7856
113.13266	0.80569
115.87898	0.83376
118.62437	0.87288
121.36882	0.92328
124.11234	0.97051
126.85492	1
129.59656	0.99764
132.33727	0.96199
135.07705	0.92247
137.8159	0.89469
140.55381	0.87996
143.29079	0.86458
146.02685	0.83203
148.76197	0.79114
151.49616	0.7553
154.22943	0.7273
156.96177	0.70557
159.69318	0.69195
162.42367	0.68553
165.15323	0.6788
167.88186	0.6743
170.60958	0.66919
173.33637	0.66733
176.06223	0.66289
178.78718	0.66377
181.5112	0.6618
184.23431	0.6661
186.9565	0.66744
189.67776	0.67297
192.39811	0.68064
195.11754	0.69514
197.83606	0.70883
200.55366	0.72358
203.27034	0.73499
205.98611	0.732
208.70097	0.71805
211.41491	0.70011
214.12794	0.68568
216.84006	0.67908
219.55127	0.67306
222.26157	0.66833
224.97096	0.66471
227.67944	0.66122
230.38701	0.65799
233.09368	0.65881
235.79944	0.65418
238.50429	0.65349
241.20824	0.65441
243.91128	0.65174
246.61342	0.65108
249.31465	0.65218
252.01498	0.64955
254.71441	0.64787
257.41294	0.64518
260.11057	0.64594
262.8073	0.64646
265.50313	0.64548
268.19806	0.64497
270.8921	0.64379
273.58523	0.64175
276.27747	0.64355
278.96882	0.64286
281.65927	0.642
284.34882	0.64026
287.03748	0.63944
289.72525	0.63858
292.41212	0.63949
295.09811	0.63631
297.7832	0.6366
300.4674	0.63785
303.15071	0.6358
305.83314	0.63514
308.51467	0.63643
311.19532	0.6355
313.87508	0.63401
316.55395	0.63367
319.23194	0.63251
321.90904	0.63222
324.58526	0.63149
327.26059	0.63186
329.93504	0.63302
332.60861	0.63124
335.28129	0.63191
337.9531	0.63025
340.62402	0.63004
343.29407	0.63085
345.96323	0.62918
348.63152	0.6314
351.29892	0.62791
353.96545	0.63009
356.63111	0.62844
359.29588	0.62672
361.95978	0.62791
364.62281	0.62818
367.28496	0.62806
369.94624	0.62794
372.60665	0.62773
375.26618	0.62741
377.92484	0.62691
380.58263	0.62657
383.23955	0.62632
385.8956	0.62627
388.55078	0.62671
391.20509	0.62717
393.85853	0.62521
396.51111	0.62443
399.16282	0.62428
401.81366	0.62546
404.46364	0.62454
407.11275	0.62376
409.761	0.6226
412.40838	0.62362
415.05491	0.62308
417.70056	0.62267
420.34536	0.62392
422.9893	0.62298
425.63237	0.62369
428.27459	0.62315
430.91594	0.62356
433.55644	0.62466
436.19608	0.62391
438.83486	0.62302
441.47278	0.62345
444.10985	0.62365
446.74606	0.62362
449.38141	0.62339
452.01591	0.62286
454.64956	0.6242
457.28235	0.62295
459.91429	0.62402
462.54538	0.62363
465.17562	0.62447
467.805	0.62256
470.43354	0.62447
473.06122	0.62277
475.68806	0.62416
478.31405	0.62207
480.93918	0.62267
483.56347	0.6229
486.18692	0.62114
488.80952	0.62149
491.43127	0.62104
494.05217	0.62177
496.67223	0.62097
499.29145	0.62197
