//Exported ASCII-File
[Header]
FileName = D:\Gast\Lei Gao\20250414 Sadeed_Hetero\1.wip
GraphName = H-532nm-10s-ave10-2mw-50obj-spot2
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 3205.8
PositionY = 3405.15
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	H-532nm-10s-ave10-2mw-50obj-spot2
rel. 1/cm	CCD cts
-3.24027E+03	 5.04500E+02
-3.23641E+03	 5.04300E+02
-3.23256E+03	 5.04900E+02
-3.22870E+03	 5.04000E+02
-3.22485E+03	 5.05800E+02
-3.22100E+03	 5.04100E+02
-3.21715E+03	 5.02900E+02
-3.21330E+03	 5.04400E+02
-3.20946E+03	 5.03700E+02
-3.20561E+03	 5.06000E+02
-3.20177E+03	 5.06500E+02
-3.19793E+03	 5.04400E+02
-3.19409E+03	 5.07100E+02
-3.19025E+03	 5.03700E+02
-3.18641E+03	 5.05000E+02
-3.18257E+03	 5.06500E+02
-3.17874E+03	 5.03500E+02
-3.17490E+03	 5.05600E+02
-3.17107E+03	 5.04700E+02
-3.16724E+03	 5.04400E+02
-3.16341E+03	 5.05200E+02
-3.15958E+03	 5.04700E+02
-3.15576E+03	 5.02700E+02
-3.15193E+03	 5.07500E+02
-3.14811E+03	 5.04300E+02
-3.14429E+03	 5.04400E+02
-3.14047E+03	 5.04200E+02
-3.13665E+03	 5.05700E+02
-3.13283E+03	 5.05200E+02
-3.12902E+03	 5.05200E+02
-3.12520E+03	 5.05200E+02
-3.12139E+03	 5.07300E+02
-3.11758E+03	 5.03200E+02
-3.11377E+03	 5.04700E+02
-3.10996E+03	 5.03400E+02
-3.10615E+03	 5.04000E+02
-3.10235E+03	 5.05700E+02
-3.09854E+03	 5.05000E+02
-3.09474E+03	 5.07200E+02
-3.09094E+03	 5.02900E+02
-3.08714E+03	 5.06900E+02
-3.08334E+03	 5.02900E+02
-3.07954E+03	 5.06500E+02
-3.07574E+03	 5.02300E+02
-3.07195E+03	 5.06000E+02
-3.06816E+03	 5.06400E+02
-3.06437E+03	 5.04100E+02
-3.06058E+03	 5.04700E+02
-3.05679E+03	 5.04300E+02
-3.05300E+03	 5.04500E+02
-3.04921E+03	 5.06900E+02
-3.04543E+03	 5.04600E+02
-3.04165E+03	 5.04100E+02
-3.03786E+03	 5.08000E+02
-3.03408E+03	 5.03200E+02
-3.03031E+03	 5.05300E+02
-3.02653E+03	 5.04300E+02
-3.02275E+03	 5.04300E+02
-3.01898E+03	 5.04100E+02
-3.01521E+03	 5.03100E+02
-3.01143E+03	 5.08000E+02
-3.00766E+03	 5.02100E+02
-3.00390E+03	 5.03200E+02
-3.00013E+03	 5.04900E+02
-2.99636E+03	 5.06900E+02
-2.99260E+03	 5.05800E+02
-2.98883E+03	 5.03600E+02
-2.98507E+03	 5.05000E+02
-2.98131E+03	 5.04800E+02
-2.97755E+03	 5.04700E+02
-2.97380E+03	 5.06100E+02
-2.97004E+03	 5.04400E+02
-2.96629E+03	 5.04400E+02
-2.96253E+03	 5.04000E+02
-2.95878E+03	 5.03800E+02
