label,T,HEB,offset,AHE,W,C1,C2
10 K,10,-47.12304854298181,40.612189,59.772107000000005,87.68480155071919,-134.807850093701,40.56175300773738
20 K,20,-38.41638975821547,15.352821999999996,29.058963999999996,79.22391776062541,-117.64030751884088,40.80752800240993
31 K,31,-35.943611915247885,15.417741000000003,28.996747000000003,66.25008617282265,-102.19369808807053,30.306474257574763
41 K,41,-35.1241108648947,15.694091,28.876607,57.63206223940678,-92.75617310430148,22.507951374512082
51 K,51,-36.043531104706574,15.957119000000006,28.665139000000003,51.5590474482328,-87.60257855293938,15.515516343526237
61 K,61,-27.84390353473218,16.275739,28.329813,49.47212977410061,-77.31603330883279,21.628226239368423
71 K,71,-33.69910195971695,16.237479000000004,28.265767,43.66764874531078,-77.36675070502773,9.968546785593835
81 K,81,-29.279383251721683,16.185902,27.376364000000002,43.33164132153294,-72.61102457325462,14.052258069811263
91 K,91,-31.49986554670597,16.575629000000003,26.757941,36.4021830571153,-67.90204860382127,4.90231751040933
101 K,101,-25.106643984481323,16.939337,26.060639,32.593573158449324,-57.70021714293065,7.486929173967999
111 K,111,-24.103331910773786,17.315807,25.284717,32.88711447829638,-56.990446389070165,8.783782567522593
121 K,121,-16.02343291104394,17.687636999999995,24.451614999999997,22.38966943106079,-38.41310234210473,6.366236520016851
132 K,132,1.2281599792150448,18.087099000000002,23.525085000000004,5.688136705484825,-4.4599767262697805,6.91629668469987
142 K,142,1.8149360701562829,18.639598999999997,22.428509,5.766516980262899,-3.9515809101066157,7.5814530504191815
152 K,152,2.1000536757680837,19.053119000000002,21.330941000000003,4.7953570639021414,-2.6953033881340582,6.8954107396702256
