label,T,HEB,offset,AHE,W,C1,C2
10 K,10,45.28653240240595,14.621173999999996,29.519523999999997,82.22470307411446,127.51123547652041,-36.938170671708505
21 K,21,39.68440887082617,14.329855000000002,29.071007,72.79794694189258,112.48235581271875,-33.113538071066415
31 K,31,33.08723007512591,14.465338,29.049294,64.39231252256283,97.47954259768875,-31.305082447436927
41 K,41,33.55427138391828,14.650463000000006,28.996513000000004,59.2005580717767,92.75482945569497,-25.646286687858424
51 K,51,30.3760753877233,14.925475,28.764591000000003,57.23411071369763,87.61018610142094,-26.858035325974335
71 K,71,28.338576064066064,15.497701000000005,27.975037,44.25709334236171,72.59566940642777,-15.918517278295646
91 K,91,29.1119752288737,16.105574999999998,26.810318999999996,38.797159209024784,67.90913443789849,-9.685183980151088
112 K,112,22.742294287891827,16.729913,25.359838999999997,29.892583193035737,52.634877480927564,-7.150288905143907
132 K,132,-2.1178644940263522,17.279697,23.581077,5.822017345925299,3.704152851898947,-7.939881839951651
152 K,152,-3.1833494018821327,17.861701999999998,21.477619999999998,3.8624657542932788,0.679116352411146,-7.045815156175411
