Field (T),Magnetization (M/MS)
3.0115979999999998,0.9804155102121938
2.9113689999999997,0.981382018456406
2.810923,0.9827835658265356
2.710748,0.9839885726778498
2.610193,0.9850434137395071
2.509584,0.9862572538725659
2.409137,0.9874357608786465
2.308745,0.9884331856089645
2.208462,0.9896720533736327
2.107961,0.9905428677322793
2.007461,0.9915483896375299
1.907068,0.9926091195536836
1.806893,0.9935174753597446
1.706339,0.9944832474971447
1.606001,0.995039008140237
1.505554,0.9961240295811883
1.405163,0.9965583326002936
1.3048790000000001,0.9964221528400657
1.204487,0.9959753360051556
1.1042370000000001,0.9947239544246829
1.0038340000000001,0.9844302367650755
0.9034954,0.9051868662350381
0.8032668,0.8035018073262502
0.7036889000000001,0.701166618881066
0.6034055,0.5986845771268794
0.5020144,0.497204744797289
0.40160070000000003,0.39562443388785484
0.3011489,0.29525391452401306
0.2007135,0.19578718710399753
0.1003551,0.09745619888428289
1.085906e-05,-0.0006348537742220546
-0.1003898,-0.09923345517127917
-0.2007623,-0.19739300411446903
-0.30118690000000004,-0.2965023516772377
-0.40165500000000004,-0.3973263128372979
-0.5020795,-0.49851000939640344
-0.6026128,-0.6004700041994893
-0.7033849,-0.7027085418202522
-0.8032234,-0.8043836632870776
-0.9034954,-0.906232137908139
-1.0038340000000001,-0.9846952352174109
-1.104258,-0.9946893574045168
-1.204596,-0.9963190978863796
-1.3050959999999998,-0.9967004012150179
-1.405163,-0.9965178467256312
-1.505609,-0.9959745998983436
-1.606055,-0.9954122142939429
-1.706339,-0.994486928031205
-1.806948,-0.9937729044235234
-1.906852,-0.992770326945521
-2.007515,-0.9918303185465424
-2.107961,-0.9909285877017898
-2.208516,-0.9898958298444936
-2.308745,-0.9888939884733035
-2.409192,-0.9879127580928503
-2.5096380000000003,-0.9865870297243611
-2.610193,-0.9855395497308241
-2.710802,-0.9844810281351064
-2.8110310000000003,-0.9832414242636264
-2.911423,-0.9821402084728101
-3.011978,-0.9808483410176749
-3.010566,-0.9810500342841747
-2.9105540000000003,-0.9822660827376695
-2.810108,-0.9834622563072392
-2.7099330000000004,-0.9848314149776389
-2.609324,-0.9859907832066063
-2.508715,-0.987274553486809
-2.4082689999999998,-0.988562740407884
-2.307876,-0.9895027488068628
-2.207647,-0.990895462895248
-2.107038,-0.9921291779122318
-2.006592,-0.9931162971471812
-1.9062540000000001,-0.9944611642927834
-1.806025,-0.9954401863528005
-1.70547,-0.9963065840705749
-1.605078,-0.9978781721142864
-1.504685,-0.998386821921408
-1.4042940000000002,-0.9986952506756539
-1.303957,-0.9989131382920186
-1.203618,-0.998609862285457
-1.103346,-0.9971604679725447
-1.0029649999999999,-0.9869749580143076
-0.9026267,-0.9072641596586231
-0.8023547,-0.8055224205253079
-0.7023423,-0.7038718114153235
-0.6020589,-0.6005988228915967
-0.502047,-0.4987873744431812
-0.4016224,-0.39696723993438343
-0.3011815,-0.29642285214153713
-0.2007461,-0.1965047440243769
-0.1003855,-0.09775976933356938
-2.063222e-05,0.0009053488097336876
0.1003942,0.09958067675451977
0.20077319999999999,0.1980646279697769
0.30119229999999997,0.2972988928585493
0.40165500000000004,0.3985707014030564
0.5021013,0.5003775123785562
0.6020915,0.6026398998600293
0.7026899000000001,0.7055242239869973
0.8024629,0.8080288642203138
0.9026922000000001,0.9099987964653622
1.0030299999999999,0.9887813641310608
1.1034549999999999,0.9990846511792246
1.203771,1.0010868617079813
1.303793,1.0009234459957077
1.404348,1.0006805307477336
1.50474,1.0006415170866954
1.6051870000000001,1.0003485465755022
1.7055240000000003,0.9997213835716418
1.806025,0.9988792773786647
1.9062540000000001,0.9982712531519173
2.006646,0.9972075788085154
2.1071459999999997,0.9965097495506988
2.207702,0.995571213365344
2.30793,0.9945745247418382
2.4083229999999998,0.9936727938970856
2.508769,0.992649605428346
2.609379,0.9916499723775919
2.709988,0.9903662020973891
2.810162,0.9892370142477153
2.910501,0.9881041458639814
3.0111630000000003,0.9868895696241107
