Field (T),Magnetization (M/MS)
3.011326,0.9650311718345994
2.911152,0.9669212347997078
2.8107599999999997,0.9690749655434151
2.710639,0.9708176586390036
2.61003,0.9725568006533988
2.509366,0.9745729270008676
2.4090279999999997,0.9763626719222667
2.308528,0.9781905909664933
2.208353,0.9800096323077366
2.107798,0.9818766132450889
2.007298,0.9831629924073443
1.9069599999999998,0.9852137417964475
1.806677,0.9869067197553304
1.706176,0.9889912044157693
1.6058379999999999,0.9898887401873638
1.505392,0.992084196135092
1.405054,0.9931122341405383
1.304716,0.9950582266344404
1.204357,0.9957542385483179
1.10415,0.9972749890693281
1.003703,0.9988223726992876
0.9033651,0.9985666948533735
0.80318,0.9995956206291183
0.7031025,0.9999258711800908
0.6025911,0.9988117194557079
0.5020253,0.9898825257952757
0.40160070000000003,0.8358112334014696
0.3011489,0.12097290746992122
0.2007135,0.013220124864892456
0.1003507,0.00427374308371452
9.773155e-06,-0.00029097426131962614
-0.100392,-0.004249426167473427
-0.2007623,-0.006181624486480367
-0.30118690000000004,-0.06394965454638266
-0.40165500000000004,-0.8084220992660357
-0.5020795,-0.9868720967136962
-0.6025259,-0.9987282690476665
-0.7032328,-1.000074128819909
-0.803158,-0.9996666422529834
-0.9033651,-0.998485907756227
-1.003703,-0.9981379017992883
-1.104171,-0.9967512045933233
-1.204465,-0.9960569682200426
-1.305151,-0.9945557486455954
-1.405054,-0.9932081133327562
-1.5054459999999998,-0.9920966249192683
-1.605892,-0.9902900123622013
-1.706176,-0.9888180892075984
-1.806731,-0.9869937212445651
-1.907014,-0.984897695570248
-2.007298,-0.9834692731602623
-2.107798,-0.9818073671618204
-2.208407,-0.9803807202924314
-2.308583,-0.9782545104279717
-2.4090279999999997,-0.9765064907105935
-2.509421,-0.974786879642761
-2.610084,-0.9728151418102079
-2.710693,-0.9709392831698725
-2.810814,-0.9693901239993162
-2.91126,-0.9672807817705246
-3.0118150000000004,-0.9655735994868686
-3.010512,-0.9654120252925757
-2.910391,-0.9672346177150123
-2.809945,-0.9692764894011322
-2.709662,-0.9710697854037245
-2.609107,-0.9730397476956811
-2.508552,-0.9747611343041099
-2.4081599999999996,-0.9765206950353664
-2.307714,-0.9783539407013828
-2.20743,-0.9802058295436636
-2.106875,-0.9820230953443105
-2.0064290000000002,-0.9837356042497564
-1.906091,-0.9854126023432696
-1.8058619999999999,-0.9869218118504016
-1.705307,-0.9888136503561067
-1.605024,-0.9899757416765984
-1.504523,-0.9915772792947551
-1.4041860000000002,-0.9931859190752983
-1.3039020000000001,-0.99471643506959
-1.20351,-0.9961475207904705
-1.103281,-0.9973557761664746
-1.002856,-0.9981858413953972
-0.9024965,-0.9991686031156298
-0.8022892,-0.9999658208435148
-0.7022337000000001,-0.9999258711800908
-0.6017331,-0.9991686031156298
-0.502047,-0.9892264635448222
-0.4016224,-0.8370128305002362
-0.3011815,-0.12148577237125664
-0.2007461,-0.013490042546391546
-0.1003855,-0.004576235720769608
-1.628859e-05,-0.00010556956013201143
0.1004007,0.0028708218755479206
0.20077319999999999,0.006040010031804371
0.3011978,0.06347325924890193
0.40165500000000004,0.8080160331315875
0.5020795,0.98699638455546
0.6016462,0.9983030270747745
0.7024075,0.9998770438136836
0.8023113000000001,0.9995192723834634
0.9025397999999999,0.9991543987908568
1.0028780000000002,0.9976522914461111
1.103302,0.9971728954850221
1.203618,0.9961262143033109
1.304119,0.9947102206775018
1.4041860000000002,0.993403422798385
1.504523,0.9919519183606432
1.605024,0.9901825921561054
1.705307,0.9888988763047448
1.8058619999999999,0.9871863673992991
1.906091,0.9854596541690802
2.0064830000000002,0.9837462574933361
2.106984,0.9820905658869823
2.207539,0.9802954943437934
2.307768,0.9784702386104619
2.408214,0.9765704101720719
2.508552,0.9748596768072227
2.6092150000000003,0.9730557275610507
2.709825,0.97090377235794
2.81,0.9693075613615731
2.910446,0.9673269458260368
3.011001,0.9655105677956884
