Field (T),Magnetization (M/MS)
3.012195,1.000039663581787
2.912074,1.0002012778777258
2.811628,1.0000509114631895
2.7114540000000003,0.9998958090985887
2.6108439999999997,0.9996779553956382
2.5102349999999998,0.9990682018248798
2.409735,0.9986040787185939
2.309397,0.9977196400441152
2.209114,0.9965747241161087
2.1085580000000004,0.9950864518084519
2.008058,0.9931737199762966
1.90772,0.9908454085260124
1.807491,0.9860709788675986
1.7069900000000002,0.9736136542176297
1.606653,0.9465962430892128
1.506206,0.9083658781901803
1.405814,0.8640373855898063
1.305476,0.8160053800392727
1.2051379999999998,0.7623967932882114
1.1048879999999999,0.7013598688615427
1.004485,0.6317745545690965
0.9041473,0.5580105339369301
0.8038746,0.48739130254610585
0.7039062,0.4204012888888099
0.603297,0.3539559094888903
0.5020144,0.2886580507895124
0.40160070000000003,0.22510343610936961
0.301149,0.16540702234835633
0.2006972,0.109404412839871
0.1003508,0.05446926871603065
9.773155e-06,-0.00035126754743497983
-0.1003855,-0.05533749268147716
-0.2007569,-0.10981442771667414
-0.3011815,-0.16514488751230605
-0.4016441,-0.22389482165300048
-0.5020687,-0.2869105444152197
-0.6032860999999999,-0.3518081561348017
-0.7041016,-0.41768735270455304
-0.8039400999999999,-0.4844280777903477
-0.9041906999999999,-0.5537568811874447
-1.004528,-0.6276744058010651
-1.1049309999999999,-0.6985887460802612
-1.205291,-0.7607155310154409
-1.305856,-0.8153956264685144
-1.405869,-0.8645399882903634
-1.50626,-0.9079201068903928
-1.606653,-0.9459130822924601
-1.7069900000000002,-0.9733709367768424
-1.8075450000000002,-0.9856228395927793
-1.907774,-0.9900089213459332
-2.008112,-0.9927172927888648
-2.108612,-0.9946596243089211
-2.209168,-0.9961508565853681
-2.309397,-0.9972525569690391
-2.409843,-0.998440096447623
-2.510181,-0.9987165575326172
-2.6108439999999997,-0.9988491641344133
-2.7114540000000003,-0.9995104211621192
-2.8116830000000004,-0.999708147077297
-2.912074,-0.9997987221222739
-3.01263,-0.9997815543032914
-3.011218,-0.9996992671709269
-2.911151,-0.9997868822471134
-2.810705,-0.9997116990398452
-2.71053,-0.9995554126877285
-2.609975,-0.9993257191096175
-2.509258,-0.9988006206462559
-2.408921,-0.9983157777584392
-2.308528,-0.9973745076831909
-2.2082450000000002,-0.996218343873782
-2.1076349999999997,-0.9947377674849796
-2.007189,-0.9929558662733459
-1.906852,-0.9902581507180588
-1.8066220000000002,-0.9856719750746947
-1.706013,-0.9733987604834694
-1.605675,-0.9463476057108453
-1.505283,-0.9083475263836818
-1.4048370000000001,-0.8640740892028033
-1.304499,-0.8151215333585521
-1.204205,-0.7614057957372896
-1.103932,-0.7015498988578663
-1.003551,-0.6316602997737991
-0.9032352000000001,-0.5579794542646341
-0.8030493000000001,-0.48718712389896557
-0.7033849,-0.420564027972889
-0.6030906,-0.3539593430526868
-0.5021122,-0.2888238090417574
-0.4016875,-0.22572230638400145
-0.301187,-0.16523244338911688
-0.2007298,-0.10939843370291502
-0.1003681,-0.054507961428054696
-6.515435e-06,0.00029296243740405993
0.1003833,0.055324356339986745
0.2008112,0.1100987623186501
0.3013063,0.16505816042675645
0.40177440000000003,0.22398409431170954
0.502199,0.28771524153049327
0.6035032,0.35168508063250975
0.7041016,0.41787548832085114
0.8037658999999999,0.4842945831979147
0.9037782,0.5542424936671467
1.0038120000000001,0.6276744058010651
1.104062,0.6989847899043752
1.2044219999999999,0.7614057957372896
1.3048790000000001,0.8157875263363222
1.4049459999999998,0.864659571029483
1.5053370000000001,0.9085026287482825
1.605783,0.9459841215434224
1.7061220000000001,0.9734626958093353
1.806676,0.985851349183374
1.906852,0.9903771414634204
2.007135,0.9927747161833924
2.107689,0.9949129976373529
2.2082450000000002,0.9963621983569805
2.308528,0.9975337540040976
2.408921,0.9984714721167979
2.509421,0.9988681079346698
2.609975,0.9994666136240258
2.710585,0.9997276828713118
2.8107599999999997,0.9998869291922186
2.911151,1.0000503194694312
3.011761,0.999870945360752
